name,latitude,longitude  
Bradford Grammar School,53.8170,-1.7665  
Belle Vue Girls' Academy,53.8055,-1.7830  
St. Bede's and St. Joseph's Catholic College,53.7880,-1.7785  
Hanson Academy,53.8100,-1.7235  
Beckfoot School,53.8480,-1.7820  
Immanuel College,53.8320,-1.7125  
Tong Leadership Academy,53.7735,-1.7190  
Oasis Academy Lister Park,53.8105,-1.7660  
Dixons City Academy,53.7850,-1.7595  
Buttershaw Business & Enterprise College,53.7685,-1.7980  
Queensbury Academy,53.7700,-1.8445  
Carlton Bolling College,53.8000,-1.7410  
Grange Technology College,53.7740,-1.7695  
Bradford Forster Academy,53.7805,-1.7250  
Appleton Academy,53.7710,-1.7765  
Dixons McMillan Academy,53.7925,-1.7520  
Dixons Trinity Academy,53.7910,-1.7550  
The Holy Family Catholic School,53.8670,-1.9380  
Parkside School,53.8365,-1.8720  
Ilkley Grammar School,53.9240,-1.8310  
