name,latitude,longitude  
Bradford Royal Infirmary,53.8060,-1.7850  
St. Luke's Hospital,53.7845,-1.7560  
Eccleshill Community Hospital,53.8140,-1.7135  
Westbourne Green Community Hospital,53.8050,-1.7665  
Shipley Hospital,53.8330,-1.7760  
The Ridge Medical Practice,53.7730,-1.7485  
Tong Medical Practice,53.7745,-1.7130  
Wibsey Medical Centre,53.7660,-1.7845  
Saltaire Medical Practice,53.8370,-1.7900  
Thornton Medical Centre,53.7915,-1.8440  
Barkerend Health Centre,53.7990,-1.7415  
Manningham Health Centre,53.8055,-1.7680  
Horton Park Medical Practice,53.7885,-1.7655  
Idle Medical Centre,53.8300,-1.7380  
The Willows Medical Centre,53.7920,-1.7525  
Leylands Medical Centre,53.8010,-1.7470  
Clarendon Medical Centre,53.7965,-1.7550  
Ashcroft Surgery,53.7855,-1.7690  
Sunrise Medical Practice,53.7995,-1.7430  
Lister Surgery,53.8080,-1.7660  
